iter	Logloss
0	0.6906934266
1	0.6884994391
2	0.6866985171
3	0.6854495884
4	0.6839093392
5	0.6823484424
6	0.680960036
7	0.6798641645
8	0.6788689258
9	0.6779867
10	0.6770047352
11	0.6757793705
12	0.6751087984
13	0.6744741783
14	0.6738065244
15	0.6733979252
16	0.6728296688
17	0.6717480108
18	0.6712747513
19	0.6708933173
20	0.6702059177
21	0.6699081201
22	0.6695472193
23	0.6686457972
24	0.6680337715
25	0.6679197657
26	0.6673601321
27	0.6670208875
28	0.6666224846
29	0.6663658529
30	0.6662979611
31	0.6659048551
32	0.6651593117
33	0.6649201209
34	0.6645461737
35	0.6642122184
36	0.6638965617
37	0.6638635178
38	0.6636764018
39	0.6636463006
40	0.6635400115
41	0.6632737496
42	0.6628350956
43	0.6628162042
44	0.6623340987
45	0.6622686496
46	0.6622382021
47	0.6622262105
48	0.6618567082
49	0.6617831782
50	0.661713669
51	0.6615400244
52	0.6613984148
53	0.6609851886
54	0.6609808047
55	0.6608859088
56	0.6607299758
57	0.6606643718
58	0.6600399426
59	0.6598164379
60	0.65955129
61	0.6595462862
62	0.6595329669
63	0.6594735888
64	0.6594155691
65	0.6593513375
66	0.6592648517
67	0.6592085634
68	0.6590604632
69	0.6586561584
70	0.6586539
71	0.6586206592
72	0.6586184192
73	0.6585917124
74	0.6585128536
75	0.6581986134
76	0.6581848321
77	0.6581582841
78	0.6581215788
79	0.657827113
80	0.6577142528
81	0.65764404
82	0.6573400706
83	0.6572600037
84	0.6571884472
85	0.6570228197
86	0.6566278252
87	0.6565427825
88	0.6565411015
89	0.6565246173
90	0.6563270943
91	0.6562654183
92	0.6560296872
93	0.6558232312
94	0.655821752
95	0.6556989309
96	0.655697203
97	0.6556822647
98	0.6556258505
99	0.65541237
100	0.6553035192
101	0.6550661646
102	0.6549166016
103	0.6548734239
104	0.6548632712
105	0.6548283471
106	0.6546693245
107	0.6545007067
108	0.6544868151
109	0.6543814682
110	0.6543202249
111	0.654294437
112	0.6542926323
113	0.6542788585
114	0.6542050672
115	0.6541708808
116	0.6541682475
117	0.6541557071
118	0.6541383716
119	0.6540300053
120	0.6540232275
121	0.6540172253
122	0.653931421
123	0.6537944588
124	0.6536502123
125	0.6536426758
126	0.6536205692
127	0.6535344508
128	0.6534389008
129	0.6534277499
130	0.6533970109
131	0.65333762
132	0.6531788509
133	0.6531789199
134	0.653092304
135	0.6530878658
136	0.6530858145
137	0.6530721126
138	0.6529956622
139	0.6529510858
140	0.6529265502
141	0.6528546944
142	0.6528538517
143	0.6528418312
144	0.6527418911
145	0.652572418
146	0.6524629502
147	0.6524626563
148	0.6524572352
149	0.6524488236
150	0.6524480468
151	0.6524397703
152	0.6523247918
153	0.6523249538
154	0.6522984354
155	0.6522801402
156	0.6522130006
157	0.6522096869
158	0.652108084
159	0.6521060687
160	0.6520958119
161	0.6520738971
162	0.6520691589
163	0.6519876762
164	0.6519300285
165	0.6518479703
166	0.6517578168
167	0.6516871873
168	0.6516031871
169	0.6514441741
170	0.6513482574
171	0.651285195
172	0.6512470817
173	0.6512307277
174	0.6512287546
175	0.6511358093
176	0.6511358634
177	0.651119713
178	0.6510938984
179	0.6510273409
180	0.6509809963
181	0.650975796
182	0.650975787
183	0.6508686923
184	0.6508642726
185	0.6507980894
186	0.6506780574
187	0.6506713964
188	0.6505924418
189	0.6504608473
190	0.6503646631
