iter	Passed	Remaining
0	164	49082
1	186	27851
2	209	20693
3	231	17100
4	253	14984
5	276	13558
6	298	12476
7	321	11729
8	343	11097
9	364	10564
10	389	10221
11	410	9850
12	432	9539
13	453	9265
14	476	9059
15	499	8862
16	523	8711
17	543	8510
18	564	8354
19	587	8218
20	609	8093
21	631	7973
22	652	7858
23	674	7751
24	697	7669
25	704	7427
26	726	7348
27	748	7272
28	771	7207
29	794	7146
30	815	7079
31	837	7012
32	859	6957
33	882	6900
34	905	6859
35	928	6807
36	950	6756
37	971	6701
38	991	6637
39	1013	6586
40	1034	6537
41	1055	6485
42	1078	6443
43	1099	6397
44	1121	6354
45	1142	6306
46	1163	6261
47	1183	6212
48	1204	6170
49	1227	6136
50	1250	6105
51	1273	6073
52	1295	6038
53	1318	6006
54	1340	5971
55	1362	5937
56	1384	5900
57	1406	5868
58	1429	5838
59	1449	5799
60	1469	5757
61	1489	5718
62	1510	5681
63	1529	5641
64	1549	5601
65	1569	5563
66	1587	5521
67	1592	5432
68	1611	5396
69	1631	5361
70	1651	5327
71	1671	5293
72	1691	5258
73	1695	5178
74	1715	5147
75	1737	5120
76	1758	5093
77	1780	5068
78	1802	5041
79	1824	5017
80	1846	4993
81	1852	4925
82	1874	4899
83	1895	4874
84	1918	4852
85	1941	4831
86	1963	4807
87	1985	4783
88	2007	4758
89	2027	4731
90	2047	4702
91	2066	4672
92	2087	4645
93	2108	4620
94	2128	4593
95	2148	4565
96	2169	4539
97	2174	4482
98	2194	4456
99	2216	4432
100	2235	4404
101	2256	4379
102	2277	4356
103	2297	4330
104	2317	4304
105	2338	4280
106	2359	4255
107	2379	4229
108	2398	4203
109	2419	4178
110	2439	4154
111	2459	4128
112	2479	4103
113	2500	4079
114	2520	4053
115	2540	4028
116	2559	4003
117	2579	3978
118	2598	3952
119	2618	3927
120	2639	3904
121	2659	3880
122	2680	3857
123	2701	3833
124	2721	3810
125	2742	3786
126	2761	3762
127	2782	3738
128	2802	3715
129	2822	3691
130	2842	3667
131	2865	3646
132	2887	3625
133	2909	3604
134	2932	3583
135	2952	3560
136	2975	3540
137	2997	3518
138	3019	3497
139	3042	3476
140	3063	3454
141	3086	3434
142	3108	3412
143	3130	3391
144	3151	3368
145	3171	3344
146	3191	3321
147	3211	3298
148	3231	3275
149	3252	3252
150	3273	3230
151	3294	3208
152	3316	3186
153	3339	3165
154	3362	3145
155	3384	3124
156	3406	3102
157	3428	3081
158	3451	3060
159	3473	3039
160	3495	3018
161	3517	2996
162	3539	2975
163	3562	2954
164	3583	2932
165	3604	2909
166	3623	2886
167	3644	2863
168	3665	2840
169	3685	2818
170	3706	2796
171	3726	2773
172	3749	2752
173	3771	2730
174	3790	2707
175	3810	2684
176	3831	2662
177	3851	2639
178	3871	2617
179	3892	2594
180	3913	2572
181	3934	2550
182	3955	2528
183	3976	2506
184	3996	2484
185	4017	2462
186	4038	2440
187	4058	2417
188	4078	2395
189	4097	2372
190	4119	2350
191	4139	2328
192	4160	2306
193	4181	2284
194	4201	2262
195	4222	2240
196	4245	2219
197	4267	2198
198	4289	2177
199	4312	2156
200	4335	2135
201	4357	2114
202	4380	2093
203	4401	2071
204	4423	2050
205	4445	2028
206	4468	2007
207	4490	1986
208	4513	1965
209	4535	1943
210	4555	1921
211	4575	1899
212	4596	1877
213	4616	1855
214	4637	1833
215	4658	1811
216	4677	1789
217	4697	1766
218	4718	1745
219	4738	1723
220	4758	1701
221	4779	1679
222	4800	1657
223	4819	1635
224	4840	1613
225	4860	1591
226	4880	1569
227	4901	1547
228	4922	1526
229	4942	1504
230	4962	1482
231	4979	1459
232	4998	1437
233	5018	1415
234	5040	1394
235	5062	1372
236	5084	1351
237	5105	1330
238	5128	1308
239	5150	1287
240	5172	1266
241	5195	1245
242	5217	1223
243	5239	1202
244	5262	1181
245	5284	1160
246	5307	1138
247	5329	1117
248	5351	1096
249	5373	1074
250	5395	1053
251	5415	1031
252	5436	1009
253	5456	988
254	5476	966
255	5496	944
256	5516	922
257	5538	901
258	5561	880
259	5583	859
260	5605	837
261	5627	816
262	5649	794
263	5671	773
264	5695	752
265	5717	730
266	5738	709
267	5760	687
268	5781	666
269	5804	644
270	5824	623
271	5844	601
272	5865	580
273	5885	558
274	5906	536
275	5927	515
276	5948	493
277	5969	472
278	5991	450
279	6013	429
280	6037	408
281	6060	386
282	6082	365
283	6105	343
284	6127	322
285	6151	301
286	6175	279
287	6198	258
288	6219	236
289	6240	215
290	6261	193
291	6281	172
292	6302	150
293	6322	129
294	6343	107
295	6364	86
296	6384	64
297	6404	42
298	6424	21
299	6446	0
